"Code ISO_3","Numéro","Continent rattaché","State","État","Superficie 2007","Superficie 2012","Pop 2007","Pop 2008","Pop 2009","Pop 2010","Pop 2011","Pop 2012","Pop 2013","Pop 2014","Pop 2015","Pop 2016","Pop 2017","Pop 2018","Pop 2019","Pop 2020","Pop 2021","Pop 2022","Pop 2023","Pop 2024","Pop 2025","Densité 2007","Densité 2008","Densité 2009","Densité 2010","Densité 2011","Densité 2012","Densité 2013","Densité 2014","Densité 2015","Densité 2016","Densité 2017","Densité 2018","Densité 2019","Densité 2020","Densité 2021","Densité 2022","Densité 2023","Densité 2024","Densité 2025"
"afg",1,"Asie","Afghanistan","Afghanistan",653000,653000,31100000,31900000,32700000,28400000,29100000,32400000,33400000,30600000,30600000,32200000,33300000,34200000,34900000,38000000,38900000,39800000,41100000,42200000,42600000,48,48.85,50.08,43.49,44.56,49.620000000000005,51.15,46.86,46.86,49.31,51.,52.370000000000005,53.45,58.19,59.57,60.95,62.940000000000005,64.62,65.24
"zaf",2,"Afrique","South Africa","Afrique du Sud",1222000,1222000,47300000,47900000,48300000,50700000,50500000,50500000,50700000,53000000,53000000,55000000,55000000,55400000,57400000,58600000,59300000,60000000,58900000,60400000,64000000,39,39.2,39.53,41.49,41.33,41.33,41.49,43.37,43.37,45.01,45.01,45.34,46.97,47.95,48.53,49.1,48.2,49.43,52.370000000000005
"alb",3,"Europe","Albania","Albanie",29000,29000,3200000,3200000,3200000,3200000,3200000,3200000,3200000,2800000,2800000,2900000,2900000,2900000,2900000,2900000,2900000,2870000,2800000,2800000,2700000,110,110.34,110.34,110.34,110.34,110.34,110.34,96.55,96.55,100.,100.,100.,100.,100.,100.,98.97,96.55,96.55,93.10000000000001
"dza",4,"Afrique","Algeria","Algérie",2384000,2384000,33500000,34100000,34700000,35400000,35400000,36000000,36500000,38300000,38300000,39900000,40400000,41100000,42000000,43100000,43100000,44600000,44900000,45600000,46800000,14,14.3,14.56,14.85,14.85,15.1,15.31,16.07,16.07,16.740000000000002,16.95,17.240000000000002,17.62,18.080000000000002,18.080000000000002,18.71,18.830000000000002,19.13,19.63
"deu",5,"Europe","Germany","Allemagne",357000,357000,82400000,82300000,82200000,82000000,82000000,81800000,82000000,80600000,80600000,81100000,80700000,80600000,82300000,83500000,83800000,83800000,83400000,83300000,84500000,231,230.53,230.25,229.69,229.69,229.13,229.69,225.77,225.77,227.17000000000002,226.05,225.77,230.53,233.89000000000001,234.73000000000002,234.73000000000002,233.61,233.33,236.69
"and",6,"Europe","Andorra","Andorre",468,468,,,,,,,,78000,79000,80000,80000,80000,76965,80000,80000,77000,78000,80000,80000,,,,,,,,166.67000000000002,168.8,170.94,170.94,170.94,164.46,170.94,170.94,164.53,166.67000000000002,170.94,170.94
"ago",7,"Afrique","Angola","Angola",1248000,1248000,15800000,16300000,16800000,17100000,19000000,19600000,20200000,21600000,21600000,25000000,25800000,26700000,30800000,31800000,32900000,33900000,35600000,36600000,37800000,13,13.06,13.46,13.700000000000001,15.22,15.71,16.19,17.31,17.31,20.03,20.67,21.39,24.68,25.48,26.36,27.16,28.53,29.330000000000002,30.29
"atg",8,"Amérique","Antigua and Barbuda","Antigua-et-Barbuda",442,442,,,,,,,,90000,90000,90000,93000,94000,103000,97000,98000,99000,94000,94000,94000,,,,,,,,203.62,203.62,203.62,210.41,212.67000000000002,233.03,219.46,221.72,223.98000000000002,212.67000000000002,212.67000000000002,212.67000000000002
"sau",9,"Asie","Saudi Arabia","Arabie Saoudite",2152000,2152000,24100000,27600000,28100000,28700000,26200000,27900000,28700000,30100000,30100000,31600000,32100000,32700000,33500000,34300000,34800000,35300000,36400000,36900000,33900000,11,12.83,13.06,13.34,12.17,12.96,13.34,13.99,13.99,14.68,14.92,15.200000000000001,15.57,15.94,16.17,16.4,16.91,17.150000000000002,15.75
"arg",10,"Amérique","Argentina","Argentine",2784000,2784000,39000000,39400000,39700000,40300000,40700000,40500000,41100000,41300000,41300000,42400000,43800000,44300000,44700000,44800000,45200000,45600000,45500000,45700000,45600000,14,14.15,14.26,14.48,14.620000000000001,14.55,14.76,14.83,14.83,15.23,15.73,15.91,16.06,16.09,16.240000000000002,16.38,16.34,16.42,16.38
